,answers,correct,correct_letter,question,question_POS,source,style-pairs_layer-0,style-single_layer-0,style-pairs_layer-1,style-single_layer-1,style-pairs_layer-2,style-single_layer-2,style-pairs_layer-all,style-single_layer-all
10,"[[['bashful', 'attention'], ['a', 'n']], [['obliging', 'thanks'], ['a', 'n']], [['insecure', 'doubt'], ['a', 'n']], [['merciless', 'compassion'], ['a', 'n']], [['pathetic', 'pity'], ['a', 'n']]]","[['merciless', 'compassion'], ['a', 'n']]",d,"['condescending', 'respect']","['a', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
11,"[[['querulous', 'reconciliation'], ['a', 'n']], [['forlorn', 'hope'], ['a', 'n']], [['radiant', 'happiness'], ['a', 'n']], [['graceful', 'posture'], ['a', 'n']], [['marvelous', 'wonder'], ['a', 'n']]]","[['radiant', 'happiness'], ['a', 'n']]",c,"['livid', 'anger']","['a', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
12,"[[['amplify', 'volume'], ['v', 'n']], [['overflow', 'capacity'], ['v', 'n']], [['appraise', 'value'], ['v', 'n']], [['stump', 'answer'], ['v', 'n']], [['weigh', 'scale'], ['v', 'n']]]","[['appraise', 'value'], ['v', 'n']]",c,"['fathom', 'depth']","['v', 'n']",190 FROM REAL SATs,0,0,1,0,1,0,1,0
13,"[[['gratuity', 'bonus'], ['n', 'n']], [['apology', 'regret'], ['n', 'n']], [['pledge', 'donation'], ['n', 'n']], [['trophy', 'victory'], ['n', 'n']], [['debt', 'loan'], ['n', 'n']]]","[['trophy', 'victory'], ['n', 'n']]",d,"['remuneration', 'labor']","['n', 'n']",190 FROM REAL SATs,1,1,0,0,0,0,0,0
14,"[[['patron', 'client'], ['n', 'n']], [['coach', 'athlete'], ['n', 'n']], [['waiter', 'diner'], ['n', 'n']], [['driver', 'passenger'], ['n', 'n']], [['novelist', 'writer'], ['n', 'n']]]","[['coach', 'athlete'], ['n', 'n']]",b,"['tutor', 'pupil']","['n', 'n']",190 FROM REAL SATs,0,0,1,1,1,1,1,1
15,"[[['create', 'talented'], ['v', 'a']], [['mend', 'repaired'], ['v', 'a']], [['cook', 'raw'], ['v', 'a']], [['sing', 'vocal'], ['v', 'a']], [['narrate', 'fictitious'], ['v', 'a']]]","[['cook', 'raw'], ['v', 'a']]",c,"['decorate', 'plain']","['v', 'a']",190 FROM REAL SATs,0,0,1,1,1,1,1,1
16,"[[['vital', 'energy'], ['a', 'n']], [['parched', 'moisture'], ['a', 'n']], [['restrained', 'limit'], ['a', 'n']], [['measured', 'quantity'], ['a', 'n']], [['deliberate', 'intention'], ['a', 'n']]]","[['parched', 'moisture'], ['a', 'n']]",b,"['pallid', 'color']","['a', 'n']",190 FROM REAL SATs,0,0,1,1,1,1,1,1
17,"[[['sprint', 'run'], ['v', 'v']], [['boil', 'heat'], ['v', 'v']], [['ramble', 'walk'], ['v', 'v']], [['evade', 'elude'], ['v', 'v']], [['crawl', 'creep'], ['v', 'v']]]","[['ramble', 'walk'], ['v', 'v']]",c,"['drift', 'move']","['v', 'v']",190 FROM REAL SATs,0,0,0,0,1,0,1,0
18,"[[['inefficient', 'time'], ['a', 'n']], [['prudent', 'discretion'], ['a', 'n']], [['clairvoyant', 'perception'], ['a', 'n']], [['inept', 'mistake'], ['a', 'n']], [['pretentious', 'modesty'], ['a', 'n']]]","[['pretentious', 'modesty'], ['a', 'n']]",e,"['crass', 'refinement']","['a', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
19,"[[['idol', 'adulation'], ['n', 'n']], [['gourmand', 'food'], ['n', 'n']], [['scapegoat', 'symbol'], ['n', 'n']], [['collector', 'ownership'], ['n', 'n']], [['protagonist', 'narrative'], ['n', 'n']]]","[['idol', 'adulation'], ['n', 'n']]",a,"['pariah', 'ostracism']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,0,1,1,1
20,"[[['crew', 'ship'], ['n', 'n']], [['scholars', 'library'], ['n', 'n']], [['group', 'society'], ['n', 'n']], [['spectators', 'arena'], ['n', 'n']], [['actors', 'stage'], ['n', 'n']]]","[['spectators', 'arena'], ['n', 'n']]",d,"['audience', 'theater']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,0,1,1
21,"[[['day', 'night'], ['n', 'n']], [['mile', 'distance'], ['n', 'n']], [['decade', 'century'], ['n', 'n']], [['friction', 'heat'], ['n', 'n']], [['part', 'whole'], ['n', 'n']]]","[['mile', 'distance'], ['n', 'n']]",b,"['quart', 'volume']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
22,"[[['architect', 'blueprints'], ['n', 'n']], [['bibliographer', 'books'], ['n', 'n']], [['curator', 'artworks'], ['n', 'n']], [['traveler', 'countries'], ['n', 'n']], [['surveyor', 'instruments'], ['n', 'n']]]","[['architect', 'blueprints'], ['n', 'n']]",a,"['cartographer', 'maps']","['n', 'n']",190 FROM REAL SATs,0,0,0,1,0,0,0,0
23,"[[['flammable', 'fire'], ['a', 'n']], [['resilient', 'shock'], ['a', 'n']], [['soluble', 'water'], ['a', 'n']], [['corrosive', 'iron'], ['a', 'n']], [['responsive', 'stimulus'], ['a', 'n']]]","[['corrosive', 'iron'], ['a', 'n']]",d,"['abrasive', 'skin']","['a', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
24,"[[['skyline', 'city'], ['n', 'n']], [['bank', 'stream'], ['n', 'n']], [['hub', 'wheel'], ['n', 'n']], [['dam', 'river'], ['n', 'n']], [['reservoir', 'lake'], ['n', 'n']]]","[['reservoir', 'lake'], ['n', 'n']]",e,"['canal', 'waterway']","['n', 'n']",190 FROM REAL SATs,0,0,1,0,1,0,1,0
25,"[[['game', 'players'], ['n', 'n']], [['picnic', 'woods'], ['n', 'n']], [['swarm', 'insects'], ['n', 'n']], [['cat', 'kittens'], ['n', 'n']], [['vase', 'flowers'], ['n', 'n']]]","[['swarm', 'insects'], ['n', 'n']]",c,"['throng', 'people']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
26,"[[['defiant', 'complacency'], ['a', 'n']], [['serene', 'tranquillity'], ['a', 'n']], [['precious', 'worthlessness'], ['a', 'n']], [['sociable', 'antagonism'], ['a', 'n']], [['lucky', 'persistence'], ['a', 'n']]]","[['serene', 'tranquillity'], ['a', 'n']]",b,"['foolhardy', 'recklessness']","['a', 'n']",190 FROM REAL SATs,0,0,1,1,1,1,1,1
27,"[[['recruit', 'competent'], ['v', 'a']], [['fracture', 'separable'], ['v', 'a']], [['renovate', 'habitable'], ['v', 'a']], [['purify', 'contaminated'], ['v', 'a']], [['reproduce', 'copied'], ['v', 'a']]]","[['purify', 'contaminated'], ['v', 'a']]",d,"['emend', 'faulty']","['v', 'a']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
28,"[[['supervisor', 'obedience'], ['n', 'n']], [['comrade', 'victory'], ['n', 'n']], [['adversary', 'opposition'], ['n', 'n']], [['traitor', 'loyalty'], ['n', 'n']], [['teammate', 'competitiveness'], ['n', 'n']]]","[['adversary', 'opposition'], ['n', 'n']]",c,"['neighbor', 'proximity']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
29,"[[['outcast', 'exclude'], ['n', 'v']], [['firebrand', 'soothe'], ['n', 'v']], [['performer', 'applaud'], ['n', 'v']], [['monarch', 'depose'], ['n', 'v']], [['lobbyist', 'persuade'], ['n', 'v']]]","[['lobbyist', 'persuade'], ['n', 'v']]",e,"['heckler', 'disconcert']","['n', 'v']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
30,"[[['swerve', 'obstacle'], ['v', 'n']], [['blaze', 'paint'], ['v', 'n']], [['bar', 'door'], ['v', 'n']], [['emigrate', 'travel'], ['v', 'n']], [['digress', 'subject'], ['v', 'n']]]","[['digress', 'subject'], ['v', 'n']]",e,"['veer', 'course']","['v', 'n']",190 FROM REAL SATs,1,1,0,0,0,0,0,0
31,"[[['hedonist', 'restraint'], ['n', 'n']], [['demagogue', 'emotion'], ['n', 'n']], [['anarchist', 'authority'], ['n', 'n']], [['disputant', 'argument'], ['n', 'n']], [['litigant', 'settlement'], ['n', 'n']]]","[['disputant', 'argument'], ['n', 'n']]",d,"['reveler', 'merrymaking']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
32,"[[['escape', 'flight'], ['v', 'n']], [['accuse', 'crime'], ['v', 'n']], [['hide', 'discovery'], ['v', 'n']], [['shun', 'ridicule'], ['v', 'n']], [['guess', 'answer'], ['v', 'n']]]","[['hide', 'discovery'], ['v', 'n']]",c,"['malinger', 'work']","['v', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
33,"[[['vex', 'mutter'], ['v', 'v']], [['calm', 'quell'], ['v', 'v']], [['teach', 'lecture'], ['v', 'v']], [['push', 'fight'], ['v', 'v']], [['stare', 'glance'], ['v', 'v']]]","[['stare', 'glance'], ['v', 'v']]",e,"['shove', 'nudge']","['v', 'v']",190 FROM REAL SATs,1,1,0,0,0,0,0,0
34,"[[['yeast', 'bread'], ['n', 'n']], [['pine', 'tree'], ['n', 'n']], [['vine', 'fruit'], ['n', 'n']], [['knot', 'rope'], ['n', 'n']], [['twig', 'nest'], ['n', 'n']]]","[['pine', 'tree'], ['n', 'n']]",b,"['barley', 'grain']","['n', 'n']",190 FROM REAL SATs,0,0,1,1,0,0,0,0
35,"[[['horse', 'saddle'], ['n', 'n']], [['tractor', 'plow'], ['n', 'n']], [['rudder', 'rowboat'], ['n', 'n']], [['camel', 'desert'], ['n', 'n']], [['gasoline', 'automobile'], ['n', 'n']]]","[['tractor', 'plow'], ['n', 'n']]",b,"['locomotive', 'train']","['n', 'n']",190 FROM REAL SATs,0,0,1,0,1,1,1,1
36,"[[['interrupt', 'conversation'], ['v', 'n']], [['rehearse', 'play'], ['v', 'n']], [['terminate', 'ending'], ['v', 'n']], [['punctuate', 'sentence'], ['v', 'n']], [['abbreviate', 'word'], ['v', 'n']]]","[['abbreviate', 'word'], ['v', 'n']]",e,"['abridge', 'novel']","['v', 'n']",190 FROM REAL SATs,1,1,0,1,1,1,1,1
37,"[[['office', 'rank'], ['n', 'n']], [['platoon', 'army'], ['n', 'n']], [['president', 'term'], ['n', 'n']], [['lawyer', 'court'], ['n', 'n']], [['summit', 'mountain'], ['n', 'n']]]","[['summit', 'mountain'], ['n', 'n']]",e,"['chief', 'hierarchy']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
38,"[[['recite', 'practiced'], ['v', 'a']], [['sully', 'impure'], ['v', 'a']], [['enlighten', 'ignorant'], ['v', 'a']], [['revere', 'unrecognized'], ['v', 'a']], [['adore', 'cordial'], ['v', 'a']]]","[['enlighten', 'ignorant'], ['v', 'a']]",c,"['unfetter', 'pinioned']","['v', 'a']",190 FROM REAL SATs,1,1,1,0,1,0,1,0
39,"[[['arm', 'hand'], ['n', 'n']], [['lung', 'breath'], ['n', 'n']], [['flipper', 'water'], ['n', 'n']], [['cloud', 'sky'], ['n', 'n']], [['engine', 'jet'], ['n', 'n']]]","[['flipper', 'water'], ['n', 'n']]",c,"['wing', 'air']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
40,"[[['shrink', 'wet'], ['v', 'a']], [['measure', 'equal'], ['v', 'a']], [['magnify', 'invisible'], ['v', 'a']], [['deflate', 'flat'], ['v', 'a']], [['increase', 'boundless'], ['v', 'a']]]","[['deflate', 'flat'], ['v', 'a']]",d,"['condense', 'short']","['v', 'a']",190 FROM REAL SATs,1,1,0,1,0,0,0,0
41,"[[['protagonist', 'story'], ['n', 'n']], [['chronicler', 'events'], ['n', 'n']], [['playwright', 'stage'], ['n', 'n']], [['comedian', 'jokes'], ['n', 'n']], [['vocalist', 'voice'], ['n', 'n']]]","[['comedian', 'jokes'], ['n', 'n']]",d,"['orator', 'speech']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
42,"[[['exaggeration', 'truth'], ['n', 'n']], [['compassion', 'sympathy'], ['n', 'n']], [['security', 'instability'], ['n', 'n']], [['fortitude', 'danger'], ['n', 'n']], [['emotion', 'anger'], ['n', 'n']]]","[['compassion', 'sympathy'], ['n', 'n']]",b,"['jubilation', 'joy']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,1,0,0,0
43,"[[['shabby', 'clothes'], ['a', 'n']], [['discolored', 'bruise'], ['a', 'n']], [['devastated', 'city'], ['a', 'n']], [['vacant', 'apartment'], ['a', 'n']], [['chapped', 'lips'], ['a', 'n']]]","[['shabby', 'clothes'], ['a', 'n']]",a,"['dingy', 'building']","['a', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
44,"[[['panel', 'contest'], ['n', 'n']], [['corps', 'army'], ['n', 'n']], [['members', 'board'], ['n', 'n']], [['police', 'precinct'], ['n', 'n']], [['climbers', 'mountain'], ['n', 'n']]]","[['police', 'precinct'], ['n', 'n']]",d,"['rangers', 'forest']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
45,"[[['symptom', 'disease'], ['n', 'n']], [['food', 'hunger'], ['n', 'n']], [['fertilizer', 'growth'], ['n', 'n']], [['diagnosis', 'treatment'], ['n', 'n']], [['gravity', 'force'], ['n', 'n']]]","[['fertilizer', 'growth'], ['n', 'n']]",c,"['stimulant', 'activity']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
46,"[[['debatable', 'quality'], ['a', 'n']], [['inaccurate', 'correction'], ['a', 'n']], [['modulated', 'pitch'], ['a', 'n']], [['unheralded', 'publicity'], ['a', 'n']], [['precious', 'value'], ['a', 'n']]]","[['precious', 'value'], ['a', 'n']]",e,"['paramount', 'importance']","['a', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
47,"[[['dim', 'light'], ['a', 'n']], [['noisy', 'uproar'], ['a', 'n']], [['tanned', 'leather'], ['a', 'n']], [['rough', 'texture'], ['a', 'n']], [['hard', 'granite'], ['a', 'n']]]","[['rough', 'texture'], ['a', 'n']]",d,"['raucous', 'sound']","['a', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
48,"[[['relapse', 'condition'], ['n', 'n']], [['lotion', 'skin'], ['n', 'n']], [['hoist', 'elevating'], ['n', 'n']], [['splint', 'movement'], ['n', 'n']], [['inflation', 'expanding'], ['n', 'n']]]","[['splint', 'movement'], ['n', 'n']]",d,"['tourniquet', 'bleeding']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
49,"[[['shiny', 'polish'], ['a', 'n']], [['pale', 'hue'], ['a', 'n']], [['raspy', 'softness'], ['a', 'n']], [['enchanting', 'desire'], ['a', 'n']], [['garish', 'brightness'], ['a', 'n']]]","[['garish', 'brightness'], ['a', 'n']]",e,"['cloying', 'sweetness']","['a', 'n']",190 FROM REAL SATs,1,1,1,1,1,0,1,0
50,"[[['philanthropic', 'destitution'], ['a', 'n']], [['servile', 'submissiveness'], ['a', 'n']], [['truculent', 'temperament'], ['a', 'n']], [['bereft', 'consolation'], ['a', 'n']], [['resplendent', 'drabness'], ['a', 'n']]]","[['servile', 'submissiveness'], ['a', 'n']]",b,"['perfidious', 'treachery']","['a', 'n']",190 FROM REAL SATs,0,0,1,0,0,1,0,1
51,"[[['document', 'assertion'], ['v', 'n']], [['disprove', 'evidence'], ['v', 'n']], [['sentence', 'punishment'], ['v', 'n']], [['promise', 'advancement'], ['v', 'n']], [['disseminate', 'information'], ['v', 'n']]]","[['document', 'assertion'], ['v', 'n']]",a,"['corroborate', 'claim']","['v', 'n']",190 FROM REAL SATs,1,1,0,1,0,0,0,0
52,"[[['battery', 'discharge'], ['n', 'v']], [['glue', 'adhere'], ['n', 'v']], [['stain', 'cleanse'], ['n', 'v']], [['poison', 'ingest'], ['n', 'v']], [['water', 'drink'], ['n', 'v']]]","[['glue', 'adhere'], ['n', 'v']]",b,"['lubricant', 'slide']","['n', 'v']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
53,"[[['devour', 'starve'], ['v', 'v']], [['shout', 'speak'], ['v', 'v']], [['run', 'scamper'], ['v', 'v']], [['prepare', 'finish'], ['v', 'v']], [['deliberate', 'conclude'], ['v', 'v']]]","[['shout', 'speak'], ['v', 'v']]",b,"['stomp', 'walk']","['v', 'v']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
54,"[[['agenda', 'meeting'], ['n', 'n']], [['diary', 'secrets'], ['n', 'n']], [['roster', 'names'], ['n', 'n']], [['manual', 'equipment'], ['n', 'n']], [['ledger', 'numbers'], ['n', 'n']]]","[['roster', 'names'], ['n', 'n']]",c,"['index', 'topics']","['n', 'n']",190 FROM REAL SATs,0,0,0,1,1,1,1,1
55,"[[['sycophant', 'demean'], ['n', 'v']], [['braggart', 'boast'], ['n', 'v']], [['parasite', 'contribute'], ['n', 'v']], [['hero', 'worship'], ['n', 'v']], [['dissembler', 'believe'], ['n', 'v']]]","[['braggart', 'boast'], ['n', 'v']]",b,"['mendicant', 'beg']","['n', 'v']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
56,"[[['frugal', 'wastefulness'], ['a', 'n']], [['proud', 'accomplishment'], ['a', 'n']], [['generous', 'wealth'], ['a', 'n']], [['disqualified', 'competition'], ['a', 'n']], [['disgruntled', 'cynicism'], ['a', 'n']]]","[['frugal', 'wastefulness'], ['a', 'n']]",a,"['prudent', 'indiscretion']","['a', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
57,"[[['transparent', 'see'], ['a', 'v']], [['stationary', 'stop'], ['a', 'v']], [['arid', 'rain'], ['a', 'v']], [['stiff', 'bend'], ['a', 'v']], [['damp', 'soak'], ['a', 'v']]]","[['stiff', 'bend'], ['a', 'v']]",d,"['viscous', 'flow']","['a', 'v']",190 FROM REAL SATs,1,1,0,1,1,1,1,1
58,"[[['manuscript', 'submit'], ['n', 'v']], [['license', 'revoke'], ['n', 'v']], [['writing', 'erase'], ['n', 'v']], [['blueprint', 'build'], ['n', 'v']], [['receipt', 'pay'], ['n', 'v']]]","[['blueprint', 'build'], ['n', 'v']]",d,"['map', 'navigate']","['n', 'v']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
59,"[[['heart', 'organ'], ['n', 'n']], [['finger', 'hand'], ['n', 'n']], [['skeleton', 'body'], ['n', 'n']], [['elbow', 'joint'], ['n', 'n']], [['scalp', 'hair'], ['n', 'n']]]","[['skeleton', 'body'], ['n', 'n']]",c,"['skull', 'head']","['n', 'n']",190 FROM REAL SATs,0,0,1,0,1,0,1,0
60,"[[['inmate', 'prison'], ['n', 'n']], [['detective', 'clue'], ['n', 'n']], [['employer', 'work'], ['n', 'n']], [['salesperson', 'store'], ['n', 'n']], [['partner', 'business'], ['n', 'n']]]","[['partner', 'business'], ['n', 'n']]",e,"['accomplice', 'crime']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,0,0,0,0
61,"[[['heal', 'illness'], ['v', 'n']], [['demand', 'due'], ['v', 'n']], [['bind', 'movement'], ['v', 'n']], [['complete', 'task'], ['v', 'n']], [['chat', 'conversation'], ['v', 'n']]]","[['bind', 'movement'], ['v', 'n']]",c,"['barricade', 'access']","['v', 'n']",190 FROM REAL SATs,1,1,1,1,1,0,1,1
62,"[[['clique', 'outsider'], ['n', 'n']], [['band', 'musician'], ['n', 'n']], [['gymnasium', 'athlete'], ['n', 'n']], [['museum', 'curator'], ['n', 'n']], [['audience', 'performer'], ['n', 'n']]]","[['band', 'musician'], ['n', 'n']]",b,"['ensemble', 'dancer']","['n', 'n']",190 FROM REAL SATs,0,0,1,1,0,1,0,1
63,"[[['smile', 'greet'], ['v', 'v']], [['write', 'compose'], ['v', 'v']], [['complain', 'bicker'], ['v', 'v']], [['examine', 'scrutinize'], ['v', 'v']], [['ignore', 'notice'], ['v', 'v']]]","[['examine', 'scrutinize'], ['v', 'v']]",d,"['consider', 'contemplate']","['v', 'v']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
64,"[[['heat', 'fire'], ['v', 'n']], [['breathe', 'air'], ['v', 'n']], [['immunize', 'disease'], ['v', 'n']], [['melt', 'liquid'], ['v', 'n']], [['push', 'resistance'], ['v', 'n']]]","[['melt', 'liquid'], ['v', 'n']]",d,"['congeal', 'solid']","['v', 'n']",190 FROM REAL SATs,0,0,1,1,1,1,1,1
65,"[[['reap', 'wheat'], ['v', 'n']], [['whittle', 'wood'], ['v', 'n']], [['sweep', 'broom'], ['v', 'n']], [['prune', 'tree'], ['v', 'n']], [['rake', 'leaves'], ['v', 'n']]]","[['reap', 'wheat'], ['v', 'n']]",a,"['shear', 'wool']","['v', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
66,"[[['sequel', 'movie'], ['n', 'n']], [['conclusion', 'title'], ['n', 'n']], [['tiff', 'quarrel'], ['n', 'n']], [['intermission', 'play'], ['n', 'n']], [['finale', 'symphony'], ['n', 'n']]]","[['finale', 'symphony'], ['n', 'n']]",e,"['epilogue', 'book']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
67,"[[['thief', 'larceny'], ['n', 'n']], [['peer', 'nobility'], ['n', 'n']], [['scoundrel', 'virtue'], ['n', 'n']], [['gambler', 'luck'], ['n', 'n']], [['benefactor', 'gift'], ['n', 'n']]]","[['scoundrel', 'virtue'], ['n', 'n']]",c,"['glutton', 'moderation']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
68,"[[['speech', 'topic'], ['n', 'n']], [['tension', 'violence'], ['n', 'n']], [['facade', 'appearance'], ['n', 'n']], [['buffoonery', 'action'], ['n', 'n']], [['pretense', 'honesty'], ['n', 'n']]]","[['facade', 'appearance'], ['n', 'n']]",c,"['affectation', 'behavior']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
69,"[[['division', 'unite'], ['n', 'v']], [['agreement', 'dissent'], ['n', 'v']], [['eulogy', 'praise'], ['n', 'v']], [['travesty', 'reproduce'], ['n', 'v']], [['charity', 'donate'], ['n', 'v']]]","[['eulogy', 'praise'], ['n', 'v']]",c,"['exhortation', 'urge']","['n', 'v']",190 FROM REAL SATs,0,0,0,1,1,0,1,0
70,"[[['evidence', 'proof'], ['n', 'n']], [['achievement', 'reward'], ['n', 'n']], [['damage', 'compensation'], ['n', 'n']], [['imitation', 'forgery'], ['n', 'n']], [['emotion', 'ecstasy'], ['n', 'n']]]","[['imitation', 'forgery'], ['n', 'n']]",d,"['cooperation', 'collusion']","['n', 'n']",190 FROM REAL SATs,0,0,1,1,0,0,1,0
71,"[[['hear', 'listener'], ['v', 'n']], [['banish', 'exile'], ['v', 'n']], [['separate', 'joint'], ['v', 'n']], [['operate', 'doctor'], ['v', 'n']], [['sprain', 'ankle'], ['v', 'n']]]","[['hear', 'listener'], ['v', 'n']]",a,"['gaze', 'observer']","['v', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
72,"[[['microscope', 'size'], ['n', 'n']], [['decibel', 'loudness'], ['n', 'n']], [['orchestra', 'instrument'], ['n', 'n']], [['computer', 'data'], ['n', 'n']], [['scale', 'weight'], ['n', 'n']]]","[['scale', 'weight'], ['n', 'n']]",e,"['odometer', 'distance']","['n', 'n']",190 FROM REAL SATs,0,0,0,0,0,0,0,0
73,"[[['franchise', 'license'], ['n', 'n']], [['lease', 'owner'], ['n', 'n']], [['patent', 'design'], ['n', 'n']], [['trademark', 'registration'], ['n', 'n']], [['brand', 'manufacturer'], ['n', 'n']]]","[['patent', 'design'], ['n', 'n']]",c,"['copyright', 'book']","['n', 'n']",190 FROM REAL SATs,1,1,1,1,1,1,1,1
74,"[[['flee', 'elude'], ['v', 'v']], [['dangle', 'drop'], ['v', 'v']], [['send', 'receive'], ['v', 'v']], [['contract', 'lengthen'], ['v', 'v']], [['publish', 'write'], ['v', 'v']]]","[['flee', 'elude'], ['v', 'v']]",a,"['feign', 'deceive']","['v', 'v']",190 FROM REAL SATs,0,0,0,1,0,1,0,1
